This file was generated by min_compatible_versions.py
pkg_name,min_version
Flask-Cache,~=0.13.1
Jinja2,~=2.10.0
WebTest,0
Werkzeug,<1.0
ai21,0
aiofiles,0
aiosqlite,0
anyio,>=3.4.0
asgiref,~=3.0
async_generator,~=1.10
asynctest,==0.13.0
austin-python,~=1.0
blinker,0
boto3,==1.34.49
bytecode,0
cassandra-driver,~=3.24.0
cattrs,<23.1.1
celery[redis],0
cfn-lint,~=0.53.1
channels,0
cherrypy,>=17
click,==7.1.2
cohere,==5.4.0
confluent-kafka,~=1.9.2
cryptography,<39
daphne,0
databases,0
datadog-lambda,>=6.105.0
ddtrace-api,==0.0.1
django-pylibmc,>=0.6
django-q,0
django-redis,>=4.5
django_hosts,~=4.0
djangorestframework,>=3.11
docker,0
elasticsearch7[async],0
elasticsearch8,~=8.0.1
elasticsearch[async],0
exceptiongroup,0
faiss-cpu,==1.8.0
flask-caching,~=1.10.0
flask-openapi3,0
google-ai-generativelanguage,0
google-generativeai,0
googleapis-common-protos,0
graphene,~=3.0.0
graphql-core,~=3.2.0
graphql-relay,0
greenlet,~=1.0
grpcio,~=1.34.0
gunicorn,==20.0.4
gunicorn[gevent],0
httpretty,<1.1
huggingface-hub,0
hypothesis,<6.45.1
importlib-metadata,0
importlib_metadata,0
itsdangerous,<2.0
langchain-anthropic,==0.1.11
langchain-aws,==0.1.3
langchain-cohere,==0.1.4
langchain-community,==0.0.38
langchain-core,==0.1.52
langchain-openai,==0.1.6
langchain-pinecone,==0.1.0
lxml,0
lz4,0
markupsafe,<2.0
mock,0
more_itertools,<8.11.0
moto,>=1.0
moto[all],<5.0
msgpack,~=1.0.0
mysql-connector-python,==8.0.5
mysqlclient,~=2.0
numexpr,==2.8.5
"openai[embeddings,datalib]",==1.0.0
opensearch-py,0
opensearch-py[async],0
opensearch-py[requests],~=1.1.0
opentelemetry-api,~=1.0.0
opentelemetry-instrumentation-flask,0
opentracing,0
pinecone-client,0
protobuf,>=3
psutil,0
psycopg2-binary,~=2.8.0
py-cpuinfo,~=8.0.0
pyfakefs,0
pysqlite3-binary,0
pytest,~=4.0
pytest-aiohttp,0
pytest-bdd,>=4.0
pytest-benchmark,>=3.1.0
pytest-cov,==2.9.0
pytest-cpp,0
pytest-django[testing],==3.10.0
pytest-mock,==2.0.0
pytest-sanic,~=1.6.2
python-consul,>=1.1
python-memcached,0
python-multipart,0
ragas,==0.1.21
redis-py-cluster,>=2.0
reno,0
requests-mock,>=1.4
responses,~=0.16.0
respx,0
rich,0
ruamel.yaml,0
sanic-testing,~=0.8.3
snowflake-connector-python,~=2.3.0
spyne,0
tests/contrib/pyramid/pserve_app,0
tiktoken,0
typing-extensions,0
typing_extensions,0
uwsgi,0
vcrpy,==4.2.1
vertica-python,>=0.6.0
websockets,<11.0
webtest,0
werkzeug,<1.0
wheel,0
xmltodict,>=0.12
yarl,~=1.0
zeep,0
