t_s,label,pid,pcpu,rss_kb
0.0,A314,89188,4.1,53232
0.0,B315,89193,3.8,54336
1.0,A314,89188,23.7,54688
1.0,B315,89193,24.7,55232
2.0,A314,89188,22.6,55136
2.0,B315,89193,23.5,55616
3.0,A314,89188,23.2,55360
3.0,B315,89193,23.6,55920
4.0,A314,89188,25.1,55552
4.0,B315,89193,25.3,56112
5.0,A314,89188,23.8,55632
5.0,B315,89193,23.4,56192
6.0,A314,89188,23.2,55696
6.0,B315,89193,23.5,56208
7.0,A314,89188,23.9,55712
7.0,B315,89193,23.9,56208
9.0,A314,89188,23.0,55712
9.0,B315,89193,22.8,56240
10.0,A314,89188,30.1,55952
10.0,B315,89193,31.8,56240
11.0,A314,89188,24.0,55968
11.0,B315,89193,22.7,56256
12.0,A314,89188,22.9,56032
12.0,B315,89193,22.0,56272
13.0,A314,89188,24.4,56048
13.0,B315,89193,23.7,56384
14.0,A314,89188,23.9,56272
14.0,B315,89193,23.1,56400
15.0,A314,89188,24.8,58672
15.0,B315,89193,23.6,56448
16.0,A314,89188,24.1,59152
16.0,B315,89193,23.8,60448
17.0,A314,89188,22.6,59184
17.0,B315,89193,20.9,60800
18.0,A314,89188,22.3,59360
18.0,B315,89193,21.9,60944
19.0,A314,89188,22.6,59392
19.0,B315,89193,21.5,61072
20.0,A314,89188,21.4,59392
20.0,B315,89193,20.7,61200
21.0,A314,89188,22.0,59408
21.0,B315,89193,21.4,61200
22.0,A314,89188,23.4,59424
22.0,B315,89193,22.9,61200
23.0,A314,89188,23.0,59424
23.0,B315,89193,22.4,61216
24.0,A314,89188,22.6,59424
24.0,B315,89193,22.5,61248
25.0,A314,89188,22.7,59440
25.0,B315,89193,22.4,61296
26.0,A314,89188,22.0,59440
26.0,B315,89193,21.5,61296
27.0,A314,89188,22.2,59456
27.0,B315,89193,21.4,61360
28.0,A314,89188,23.2,59472
28.0,B315,89193,22.8,61376
29.0,A314,89188,23.8,59488
29.0,B315,89193,22.9,61392
30.0,A314,89188,25.1,61216
30.0,B315,89193,25.1,62480
31.0,A314,89188,23.3,61504
31.0,B315,89193,22.8,62528
32.0,A314,89188,21.8,61632
32.0,B315,89193,20.3,62528
33.0,A314,89188,21.8,61760
33.0,B315,89193,20.2,62544
34.0,A314,89188,23.2,61888
34.0,B315,89193,21.6,62544
35.0,A314,89188,23.4,62000
35.0,B315,89193,21.5,62576
36.0,A314,89188,24.5,62000
36.0,B315,89193,22.4,62576
37.0,A314,89188,24.5,62000
37.0,B315,89193,23.6,62576
38.0,A314,89188,30.1,62000
38.0,B315,89193,27.5,62576
39.0,A314,89188,30.7,62000
39.0,B315,89193,29.5,62576
40.0,A314,89188,30.1,62000
40.0,B315,89193,29.9,62576
41.0,A314,89188,26.6,62016
41.0,B315,89193,26.2,62624
42.0,A314,89188,27.2,62016
42.0,B315,89193,26.5,62624
43.0,A314,89188,26.6,62032
43.0,B315,89193,24.3,62624
44.0,A314,89188,30.4,62048
44.0,B315,89193,30.3,62624
45.0,A314,89188,30.3,62688
45.0,B315,89193,29.3,63520
47.0,A314,89188,27.4,62912
47.0,B315,89193,24.8,63536
48.0,A314,89188,25.5,63072
48.0,B315,89193,23.1,63552
49.0,A314,89188,25.2,63296
49.0,B315,89193,23.2,63552
50.0,A314,89188,26.8,63424
50.0,B315,89193,24.8,63584
51.0,A314,89188,33.4,63536
51.0,B315,89193,30.8,63584
52.0,A314,89188,33.5,63552
52.0,B315,89193,32.3,63584
53.0,A314,89188,30.0,63552
53.0,B315,89193,29.1,63600
54.0,A314,89188,25.6,63552
54.0,B315,89193,24.4,63600
55.0,A314,89188,23.5,63744
55.0,B315,89193,22.0,63600
56.0,A314,89188,23.2,63776
56.0,B315,89193,21.9,63600
57.0,A314,89188,22.3,64032
57.0,B315,89193,21.2,63600
58.0,A314,89188,22.5,64064
58.0,B315,89193,22.0,63920
59.0,A314,89188,23.6,64064
59.0,B315,89193,22.6,63920
60.0,A314,89188,25.0,64320
60.0,B315,89193,25.2,64032
61.0,A314,89188,23.2,64432
61.0,B315,89193,22.6,64032
62.0,A314,89188,22.9,64496
62.0,B315,89193,23.2,64032
63.0,A314,89188,22.5,64704
63.0,B315,89193,22.9,64032
64.0,A314,89188,22.3,64704
64.0,B315,89193,22.0,64032
65.0,A314,89188,23.3,64752
65.0,B315,89193,23.1,64032
66.0,A314,89188,25.0,64752
66.0,B315,89193,24.1,64032
67.0,A314,89188,23.2,64752
67.0,B315,89193,23.1,64048
68.0,A314,89188,23.3,64848
68.0,B315,89193,21.9,64096
69.0,A314,89188,22.6,64848
69.0,B315,89193,21.9,64096
70.0,A314,89188,22.4,64848
70.0,B315,89193,21.8,64096
71.0,A314,89188,22.8,64848
71.0,B315,89193,21.7,64096
72.0,A314,89188,22.2,64864
72.0,B315,89193,21.3,64112
73.0,A314,89188,21.5,64864
73.0,B315,89193,21.0,64112
74.0,A314,89188,24.2,64976
74.0,B315,89193,23.2,64112
75.0,A314,89188,22.6,65216
75.0,B315,89193,21.8,64160
76.0,A314,89188,22.7,65216
76.0,B315,89193,21.5,64160
77.0,A314,89188,22.1,65216
77.0,B315,89193,21.9,64160
78.0,A314,89188,20.9,65216
78.0,B315,89193,20.5,64160
79.0,A314,89188,22.3,65216
79.0,B315,89193,21.6,64160
80.0,A314,89188,22.3,65216
80.0,B315,89193,21.7,64160
81.0,A314,89188,19.8,65216
81.0,B315,89193,20.2,64160
82.0,A314,89188,24.4,65216
82.0,B315,89193,23.3,64160
83.0,A314,89188,21.6,65216
83.0,B315,89193,21.9,64176
85.0,A314,89188,21.9,65232
85.0,B315,89193,22.2,64176
86.0,A314,89188,21.2,65232
86.0,B315,89193,21.3,64176
87.0,A314,89188,21.8,65232
87.0,B315,89193,21.1,64176
88.0,A314,89188,21.9,65232
88.0,B315,89193,21.3,64176
89.0,A314,89188,22.6,65232
89.0,B315,89193,22.4,64208
90.0,A314,89188,23.4,65248
90.0,B315,89193,23.1,64256
