dependency,integration,minimum_tracer_supported,max_tracer_supported,auto-instrumented
aiobotocore,aiobotocore,1.0.7,3.1.0,False
aiohttp,aiohttp,3.7.4.post0,3.13.5,True
aiohttp-jinja2,aiohttp_jinja2,1.5.1,1.6,True
aiohttp_jinja2,aiohttp_jinja2,1.5.1,1.6,True
aiokafka,aiokafka,0.9.0,0.14.0,True
aiomysql,aiomysql,0.1.1,0.3.2,True
aiopg,aiopg *,0.16.0,1.4.0,True
algoliasearch,algoliasearch *,2.6.3,2.6.3,True
anthropic,anthropic,0.28.0,0.103.1,True
aredis,aredis,1.1.8,1.1.8,True
pytest-asyncio,asyncio *,0.21.1,1.3.0,True
asyncpg,asyncpg,0.23.0,0.31.0,True
avro,avro,1.12.1,1.12.1,True
aws-durable-execution-sdk-python,aws_durable_execution_sdk_python,1.4.0,1.4.0,True
datadog-lambda,aws_lambda,6.105.0,8.125.0,True
datadog_lambda,aws_lambda,6.105.0,8.125.0,True
azure-cosmos,azure_cosmos *,4.9.0,4.15.0,True
azure-functions,azure_durable_functions,1.10.1,2.0.0,True
azure-functions-durable,azure_durable_functions,1.2.1,1.5.0,True
azure-eventhub,azure_eventhubs *,5.12.2,5.15.0,True
azure-functions,azure_functions *,1.10.1,2.0.0,True
azure-servicebus,azure_servicebus *,7.14.2,7.14.2,True
boto,boto,2.49.0,2.49.0,True
boto3,botocore *,1.34.6,1.43.21,True
botocore,botocore *,1.15.32,1.43.21,True
bottle,bottle,0.12.25,0.13.4,True
celery,celery,5.5.1,5.5.3,True
cherrypy,cherrypy,17.0.0,18.10.0,False
claude-agent-sdk,claude_agent_sdk,0.0.23,0.1.49,True
python-consul,consul,1.1.0,1.1.0,True
coverage,coverage,7.3.4,7.14.1,False
crewai,crewai,0.102.0,0.157.0,True
django,django,2.2.28,6.0.4,True
dogpile-cache,dogpile_cache,0.6.8,1.4.0,True
dogpile.cache,dogpile_cache,0.6.8,1.4.0,True
dogpile_cache,dogpile_cache,0.6.8,1.4.0,True
dramatiq,dramatiq,1.10.0,1.17.0,True
elastic-transport,elasticsearch,8.17.1,9.4.0,True
elasticsearch,elasticsearch,7.13.4,9.4.0,True
elasticsearch1,elasticsearch,1.10.0,1.10.0,True
elasticsearch2,elasticsearch,2.5.1,2.5.1,True
elasticsearch5,elasticsearch,5.5.6,5.5.6,True
elasticsearch6,elasticsearch,6.8.2,6.8.2,True
elasticsearch7,elasticsearch,7.13.4,7.17.13,True
opensearch-py,elasticsearch,1.1.0,3.1.0,True
falcon,falcon,3.0.1,4.2.0,True
fastapi,fastapi,0.64.0,0.136.1,True
flask,flask,0.12.5,3.1.3,True
flask-cache,flask_cache,0.13.1,0.13.1,False
flask-caching,flask_cache,1.10.1,2.3.0,False
gevent,gevent,21.1.2,26.4.0,True
google-adk,google_adk,1.0.0,1.28.1,True
google-cloud-pubsub,google_cloud_pubsub,2.10.0,2.37.0,True
google-genai,google_genai,1.21.1,1.73.1,True
graphql-core,graphql,3.1.7,3.2.8,True
grpcio,grpc,1.34.1,1.80.0,True
httpx,httpx,0.15.4,0.28.1,True
jinja2,jinja2,2.10.3,3.1.6,True
confluent-kafka,kafka,1.9.2,2.14.0,True
kombu,kombu,4.2.2.post1,5.6.2,False
langchain-core,langchain,0.1.53,1.3.2,True
langgraph,langgraph,0.2.23,1.1.10,True
langgraph-checkpoint,langgraph,1.0.12,4.0.3,True
langgraph-prebuilt,langgraph,0.1.8,1.0.13,True
litellm,litellm *,1.60.2,1.82.6,True
llama-index,llama_index,0.11.23,0.14.18,True
llama-index-core,llama_index,0.11.23,0.14.18,True
llama_index,llama_index,0.11.23,0.14.18,True
logbook,logbook,1.0.0,1.9.2,True
loguru,loguru,0.4.1,0.7.3,True
mako,mako,1.0.14,1.3.12,True
mariadb,mariadb,1.0.11,1.1.14,True
mcp,mcp,1.6.0,1.27.0,True
mlflow,mlflow,2.11.4,3.12.0,False
mlflow-skinny,mlflow,3.12.0,3.12.0,False
mlflow-tracing,mlflow,3.12.0,3.12.0,False
molten,molten,1.0.2,1.0.2,True
mysql-connector-python,mysql,8.0.5,9.5.0,True
mysqlclient,mysqldb,2.1.1,2.2.6,True
openai,openai,1.0.0,2.36.0,True
openai-agents,openai_agents,0.0.8,0.0.16,True
protobuf,protobuf,3.19.0,7.34.1,False
psycopg,psycopg,3.0.18,3.3.4,True
psycopg2-binary,psycopg,2.9.10,2.9.12,True
pydantic-ai-slim,pydantic_ai *,0.8.1,1.76.0,True
pylibmc,pylibmc,1.6.3,1.6.3,True
pymemcache,pymemcache,3.4.4,4.0.0,True
pymongo,pymongo,3.8.0,4.17.0,True
pymysql,pymysql,0.10.1,1.2.0,True
pynamodb,pynamodb *,5.5.1,5.5.1,True
pyodbc,pyodbc,4.0.39,5.3.0,True
pyramid,pyramid,1.10.8,2.0.2,True
pytest,pytest,6.2.5,9.0.3,False
pytest-bdd,pytest_bdd *,4.1.0,8.1.0,False
ray,ray *,2.46.0,2.52.1,False
redis,redis,2.10.6,7.4.0,True
redis-py-cluster,rediscluster,2.0.0,2.1.3,True
requests,requests,2.25.1,2.34.2,True
rq,rq,1.8.1,2.7.0,True
sanic,sanic *,20.12.7,23.12.2,True
selenium,selenium *,4.34.2,4.34.2,True
snowflake-connector-python,snowflake,2.4.6,3.17.2,False
sqlalchemy,sqlalchemy,1.2.19,2.0.49,False
pysqlite3-binary,sqlite3,0.5.2.post3,0.5.2.post3,True
starlette,starlette,0.13.6,1.0.0,True
structlog,structlog,20.2.0,25.5.0,True
tornado,tornado *,6.1,6.5.5,False
urllib3,urllib3,1.25.8,2.7.0,False
valkey,valkey,6.0.2,6.1.1,True
google-cloud-aiplatform,vertexai,1.71.1,1.146.0,True
vertexai,vertexai,1.71.1,1.71.1,True
vertica-python,vertica *,0.6.14,0.7.4,True
vllm,vllm *,0.13.0,0.13.0,True
yaaredis,yaaredis,2.0.4,3.0.0,True
