         1.x	      1.12.0	       1.7.1	 2023/08/09 09:32:50
  v1.18.0rc1	      1.12.0	       1.7.1	 2023/08/09 10:27:58
     v1.17.3	      1.11.0	       1.7.1	 2023/07/28 19:45:11
     v1.17.2	      1.11.0	       1.7.1	 2023/07/25 16:53:27
     v1.17.1	      1.11.0	       1.7.1	 2023/07/21 17:13:02
     v1.17.0	      1.11.0	       1.7.1	 2023/07/19 22:38:01
  v1.17.0rc1	      1.11.0	       1.7.1	 2023/07/18 13:52:12
     v1.16.1	      1.11.0	       1.7.1	 2023/07/17 16:59:38
     v1.16.0	      1.11.0	       1.7.1	 2023/07/07 08:23:00
  v1.16.0rc2	      1.11.0	       1.7.1	 2023/07/07 08:23:00
  v1.16.0rc1	      1.11.0	       1.7.1	 2023/06/30 10:13:46
     v1.15.2	      1.11.0	       1.7.0	 2023/07/17 16:28:43
     v1.15.1	      1.11.0	       1.7.0	 2023/06/22 23:32:44
     v1.15.0	      1.11.0	       1.7.0	 2023/06/09 17:43:42
  v1.15.0rc1	      1.11.0	       1.7.0	 2023/06/07 12:53:43
     v1.14.3	      1.10.0	       1.7.0	 2023/07/17 16:40:52
     v1.14.2	      1.10.0	       1.7.0	 2023/06/14 10:00:01
     v1.14.1	      1.10.0	       1.7.0	 2023/06/12 14:45:47
     v1.14.0	      1.10.0	       1.7.0	 2023/05/30 15:26:08
  v1.14.0rc2	      1.10.0	       1.7.0	 2023/05/30 15:26:08
  v1.14.0rc1	      1.10.0	       1.7.0	 2023/05/18 10:50:38
     v1.13.6	       1.9.0	       1.6.0	 2023/07/17 16:28:30
     v1.13.5	       1.9.0	       1.6.0	 2023/06/14 08:29:17
     v1.13.4	       1.9.0	       1.6.0	 2023/05/26 09:39:54
     v1.13.3	       1.9.0	       1.6.0	 2023/05/15 17:19:12
     v1.13.2	       1.9.0	       1.6.0	 2023/05/15 10:26:56
     v1.13.1	       1.9.0	       1.6.0	 2023/05/11 12:35:42
     v1.13.0	       1.9.0	       1.6.0	 2023/05/09 12:39:46
  v1.13.0rc3	       1.9.0	       1.6.0	 2023/05/05 09:17:30
  v1.13.0rc2	       1.9.0	       1.6.0	 2023/04/27 09:19:29
  v1.13.0rc1	       1.9.0	       1.6.0	 2023/04/25 14:49:52
    v1.12.10	       1.9.0	       1.6.0	 2023/06/14 10:56:08
     v1.12.9	       1.9.0	       1.6.0	 2023/05/22 17:13:00
     v1.12.8	       1.9.0	       1.6.0	 2023/05/10 10:42:56
     v1.12.7	       1.9.0	       1.6.0	 2023/05/09 09:07:53
     v1.12.6	       1.9.0	       1.6.0	 2023/05/08 15:56:18
     v1.12.5	       1.9.0	       1.6.0	 2023/05/08 10:19:25
     v1.12.4	       1.9.0	       1.6.0	 2023/05/02 23:35:15
     v1.12.3	       1.9.0	       1.6.0	 2023/05/02 13:29:10
     v1.12.2	       1.9.0	       1.6.0	 2023/04/28 17:33:31
     v1.12.1	       1.9.0	       1.6.0	 2023/04/24 16:20:55
     v1.12.0	       1.9.0	       1.6.0	 2023/04/13 12:24:07
  v1.12.0rc1	       1.9.0	       1.6.0	 2023/04/13 12:24:07
     v1.11.6	       1.8.2	       1.5.2	 2023/05/19 14:09:37
     v1.11.5	       1.8.2	       1.5.2	 2023/05/08 11:05:05
     v1.11.4	       1.8.2	       1.5.2	 2023/05/02 18:07:39
     v1.11.3	       1.8.2	       1.5.2	 2023/04/24 17:04:21
     v1.11.2	       1.8.2	       1.5.2	 2023/04/10 15:23:53
     v1.11.1	       1.8.2	       1.5.2	 2023/04/06 10:12:32
     v1.11.0	       1.8.2	       1.5.2	 2023/03/29 16:54:50
  v1.11.0rc1	       1.8.2	       1.5.2	 2023/03/29 16:54:50
     v1.10.4	       1.8.2	       1.5.2	 2023/05/19 14:19:29
     v1.10.3	       1.8.2	       1.5.2	 2023/04/24 11:49:42
     v1.10.2	       1.8.2	       1.5.2	 2023/03/24 10:06:49
     v1.10.1	       1.8.2	       1.5.2	 2023/03/22 15:40:10
     v1.10.0	       1.8.2	       1.5.2	 2023/03/15 13:41:41
  v1.10.0rc3	       1.8.2	       1.5.2	 2023/03/15 13:41:41
  v1.10.0rc2	       1.8.2	       1.5.2	 2023/03/08 11:13:47
  v1.10.0rc1	       1.8.2	       1.5.1	 2023/03/02 17:16:34
      v1.9.7	       1.8.2	       1.5.1	 2023/05/19 14:37:57
      v1.9.6	       1.8.2	       1.5.1	 2023/04/24 12:13:08
      v1.9.5	       1.8.2	       1.5.1	 2023/03/23 14:36:59
      v1.9.4	       1.8.2	       1.5.1	 2023/03/15 15:39:00
      v1.9.3	       1.8.2	       1.5.1	 2023/03/08 05:42:45
      v1.9.2	       1.8.2	       1.5.1	 2023/03/03 22:42:19
      v1.9.1	       1.8.2	       1.5.1	 2023/03/03 10:03:01
